Symbol,Number,MendeleevNumber,AtomicWeight,MeltingT,Column,Row,CovalentRadius,Electronegativity,NsValence,NpValence,NdValence,NfValence,NValance,NsUnfilled,NpUnfilled,NdUnfilled,NfUnfilled,NUnfilled,GSvolume_pa,GSbandgap,GSmagmom,SpaceGroupNumber,OxidationStates
Ca,20,7,40.078,1115,2,4,176,1,2,0,0,0,2,0,0,0,0,0,37.77,0.0,0.0,225,2
Sc,21,11,44.955912,1814,3,4,170,1.36,2,0,1,0,3,0,0,9,0,9,22.235,0.0,6.35e-06,194,3
Ti,22,43,47.867,1941,4,4,160,1.54,2,0,2,0,4,0,0,8,0,8,16.69,0.0,2.25333333333e-05,194,2 3 4
V,23,46,50.9415,2183,5,4,153,1.63,2,0,3,0,5,0,0,7,0,7,13.01,0.0,0.0,229,2 3 4 5
Cr,24,49,51.9961,2180,6,4,139,1.66,1,0,5,0,6,1,0,5,0,6,11.19,0.0,0.0,229,2 3 6
Mn,25,52,54.938045,1519,7,4,139,1.55,2,0,5,0,7,0,0,5,0,5,10.4875862069,0.0,0.000310120689655,217,2 3 4 7
Fe,26,55,55.845,1811,8,4,132,1.83,2,0,6,0,8,0,0,4,0,4,10.73,0.0,2.1106628,229,2 3
Co,27,58,58.933195,1768,9,4,126,1.88,2,0,7,0,9,0,0,3,0,3,10.245,0.0,1.5484712,194,2 3
Ni,28,61,58.6934,1728,10,4,124,1.91,2,0,8,0,10,0,0,2,0,2,10.32,0.0,0.5953947,225,2 3
Cu,29,64,63.546,1357.77,11,4,132,1.9,1,0,10,0,11,1,0,0,0,1,11.07,0.0,0.0,225,1 2
Zn,30,69,65.38,692.68,12,4,122,1.65,2,0,10,0,12,0,0,0,0,0,13.96,0.0,0.0,194,2
Ga,31,74,69.723,302.91,13,4,122,1.81,2,1,10,0,13,0,5,0,0,5,18.8575,0.0,0.0,64,3
Ge,32,79,72.64,1211.4,14,4,120,2.01,2,2,10,0,14,0,4,0,0,4,23.005,0.383,0.0,225,2 4
As,33,84,74.9216,1090,15,4,119,2.18,2,3,10,0,15,0,3,0,0,3,22.175,0.0,0.0,166,-3 3 5
Se,34,89,78.96,494,16,4,120,2.55,2,4,10,0,16,0,2,0,0,2,25.92,0.799,0.0,14,-2 4 6
Br,35,95,79.904,265.8,17,4,120,2.96,2,5,10,0,17,0,1,0,0,1,29.48,1.457,0.0,64,-1 1 5
Kr,36,101,83.798,115.79,18,4,116,3,2,6,10,0,18,0,0,0,0,0,36.06,7.535,0.0,225,
Rb,37,4,85.4678,312.46,1,5,220,0.82,1,0,0,0,1,1,0,0,0,1,90.7225,0.0,0.0,229,1
Sr,38,8,87.62,1050,2,5,195,0.95,2,0,0,0,2,0,0,0,0,0,54.23,0.0,0.0,225,2
Y,39,12,88.90585,1799,3,5,190,1.22,2,0,1,0,3,0,0,9,0,9,32.365,0.0,0.0,194,3
Zr,40,44,91.224,2128,4,5,175,1.33,2,0,2,0,4,0,0,8,0,8,23.195,0.0,0.0,194,4
Nb,41,47,92.90638,2750,5,5,164,1.6,1,0,4,0,5,1,0,6,0,7,18.18,0.0,0.0,229,3 5
Mo,42,50,95.96,2896,6,5,154,2.16,1,0,5,0,6,1,0,5,0,6,15.69,0.0,0.0,229,6
Tc,43,53,98.0,2430,7,5,147,1.9,2,0,5,0,7,0,0,5,0,5,14.285,0.0,0.0,194,4 6 7
Ru,44,56,101.07,2607,8,5,146,2.2,1,0,7,0,8,1,0,3,0,4,13.51,0.0,0.0,194,3
Rh,45,59,102.9055,2237,9,5,142,2.28,1,0,8,0,9,1,0,2,0,3,13.64,0.0,0.0,225,3
Pd,46,62,106.42,1828.05,10,5,139,2.2,0,0,10,0,10,0,0,0,0,0,14.41,0.0,0.0,225,2 3
Ag,47,65,107.8682,1234.93,11,5,145,1.93,1,0,10,0,11,1,0,0,0,1,16.33,0.0,0.0,225,1
Cd,48,70,112.411,594.22,12,5,144,1.69,2,0,10,0,12,0,0,0,0,0,19.495,0.0,0.0,194,2
In,49,75,114.818,429.75,13,5,142,1.78,2,1,10,0,13,0,5,0,0,5,24.26,0.0,0.0,139,3
Sn,50,80,118.71,505.08,14,5,139,1.96,2,2,10,0,14,0,4,0,0,4,33.285,0.0,0.0,141,2 4
Sb,51,85,121.76,903.78,15,5,139,2.05,2,3,10,0,15,0,3,0,0,3,31.56,0.0,0.0,166,-3 3 5
Te,52,90,127.6,722.66,16,5,138,2.1,2,4,10,0,16,0,2,0,0,2,34.7633333333,0.464,0.0,152,-2 4 6
I,53,96,126.90447,386.85,17,5,139,2.66,2,5,10,0,17,0,1,0,0,1,43.015,1.062,0.0,64,-1 1 5 7
Xe,54,102,131.293,161.3,18,5,140,2.6,2,6,10,0,18,0,0,0,0,0,53.65,6.456,0.0,225,
Cs,55,5,132.9054519,301.59,1,6,244,0.79,1,0,0,0,1,1,0,0,0,1,115.765,0.0,0.0,229,1
Ba,56,9,137.327,1000,2,6,215,0.89,2,0,0,0,2,0,0,0,0,0,63.59,0.0,0.0,229,2
La,57,13,138.90547,1193,3,6,207,1.1,2,0,1,0,3,0,0,9,0,9,36.8975,0.0,0.0,194,3
Ce,58,15,140.116,1071,3,6,204,1.12,2,0,1,1,4,0,0,9,13,22,37.24,0.0,0.0,194,3 4
Pr,59,17,140.90765,1204,3,6,203,1.13,2,0,0,3,5,0,0,0,11,11,35.675,0.0,0.0,194,3
Nd,60,19,144.242,1294,3,6,201,1.14,2,0,0,4,6,0,0,0,10,10,34.81,0.0,0.0,194,3
Pm,61,21,145.0,1373,3,6,199,1.155,2,0,0,5,7,0,0,0,9,9,33.8425,0.0,0.0,194,3
Sm,62,23,150.36,1345,3,6,198,1.17,2,0,0,6,8,0,0,0,8,8,33.23,0.0,0.0,166,2 3
Eu,63,25,151.964,1095,3,6,198,1.185,2,0,0,7,9,0,0,0,7,7,36.46,0.0,0.0,229,2 3
Gd,64,27,157.25,1586,3,6,196,1.2,2,0,1,7,10,0,0,9,7,16,32.05,0.0,0.0,194,3
Tb,65,29,158.92535,1629,3,6,194,1.21,2,0,0,9,11,0,0,0,5,5,31.7366666667,0.0,0.0,194,3
Dy,66,31,162.5,1685,3,6,192,1.22,2,0,0,10,12,0,0,0,4,4,31.24,0.0,0.0,194,3
Ho,67,33,164.93032,1747,3,6,192,1.23,2,0,0,11,13,0,0,0,3,3,30.7333333333,0.0,0.0,194,3
Er,68,35,167.259,1770,3,6,189,1.24,2,0,0,12,14,0,0,0,2,2,30.585,0.0,0.0,194,3
Tm,69,37,168.93421,1818,3,6,190,1.25,2,0,0,13,15,0,0,0,1,1,29.78,0.0,0.0,194,3
Yb,70,39,173.054,1092,3,6,187,1.26,2,0,0,14,16,0,0,0,0,0,34.12,0.0,0.0,225,2 3
Lu,71,41,174.9668,1936,3,6,187,1.27,2,0,1,14,17,0,0,9,0,9,28.865,0.0,0.0022471,194,3
Hf,72,45,178.49,2506,4,6,175,1.3,2,0,2,14,18,0,0,8,0,8,22.2,0.0,0.0,194,4
Ta,73,48,180.94788,3290,5,6,170,1.5,2,0,3,14,19,0,0,7,0,7,18.12,0.0,0.0,229,5
W,74,51,183.84,3695,6,6,162,2.36,2,0,4,14,20,0,0,6,0,6,16.05,0.0,0.0,229,6
Re,75,54,186.207,3459,7,6,151,1.9,2,0,5,14,21,0,0,5,0,5,14.655,0.0,0.0,194,4 6 7
Os,76,57,190.23,3306,8,6,144,2.2,2,0,6,14,22,0,0,4,0,4,14.09,0.0,0.0,194,3 4
Ir,77,60,192.217,2739,9,6,141,2.2,2,0,7,14,23,0,0,3,0,3,14.21,0.0,0.0,225,3 4
Pt,78,63,195.084,2041.4,10,6,136,2.28,1,0,9,14,24,1,0,1,0,2,15.02,0.0,0.0,225,2 4
Au,79,66,196.966569,1337.33,11,6,136,2.54,1,0,10,14,25,1,0,0,0,1,16.7,0.0,0.0,225,1 3
Hg,80,71,200.59,234.32,12,6,132,2,2,0,10,14,26,0,0,0,0,0,25.2375862069,0.0,0.0,166,1 2
Tl,81,76,204.3833,577,13,6,145,1.62,2,1,10,14,27,0,5,0,0,5,26.91,0.0,0.0,194,1 3
Pb,82,81,207.2,600.61,14,6,146,2.33,2,2,10,14,28,0,4,0,0,4,28.11,0.0,0.0,225,2 4
Bi,83,86,208.9804,544.4,15,6,148,2.02,2,3,10,14,29,0,3,0,0,3,32.95,0.0,0.0,12,3 5
Po,84,91,209.0,527,16,6,140,2,2,4,10,14,30,0,2,0,0,2,38.73125,0.0,0.0,221,2 4
At,85,97,210.0,575,17,6,150,2.2,2,5,10,14,31,0,1,0,0,1,38.73125,0.0,0.0,Missing,-1 5 7
Rn,86,103,222.0,202,18,6,150,Missing,2,6,10,14,32,0,0,0,0,0,38.73125,0.0,0.0,Missing,
Fr,87,6,223.0,Missing,1,7,260,0.7,1,0,0,0,1,1,0,0,0,1,38.73125,0.0,0.0,Missing,1
Ra,88,10,226.0,973,2,7,221,0.9,2,0,0,0,2,0,0,0,0,0,38.73125,0.0,0.0,229,2
Ac,89,14,227.0,1323,3,7,215,1.1,2,0,1,0,3,0,0,9,0,9,44.5125,0.0,0.0,225,3
Th,90,16,232.03806,2023,3,7,206,1.3,2,0,2,0,4,0,0,8,0,8,32.37,0.0,0.0,225,4
Pa,91,18,231.03586,1845,3,7,200,1.5,2,0,1,2,5,0,0,9,12,21,25.18,0.0,0.0,139,4 5
U,92,20,238.02891,1408,3,7,196,1.38,2,0,1,3,6,0,0,9,11,20,20.025,0.0,0.0,63,3 4 5 6
Np,93,22,237.0,917,3,7,190,1.36,2,0,1,4,7,0,0,9,10,19,18.45375,0.0,0.0,62,3 4 5 6
Pu,94,24,244.0,913,3,7,187,1.28,2,0,0,6,8,0,0,0,8,8,18.08,0.0,0.3180036375,11,3 4 5 6
Am,95,26,243.0,1449,3,7,180,1.3,2,0,0,7,9,0,0,0,7,7,18.08,0.0,0.3180036375,194,3 4 5 6
Cm,96,28,247.0,1618,3,7,169,1.3,2,0,1,7,10,0,0,9,7,16,18.08,0.0,0.3180036375,194,3
Bk,97,30,247.0,1323,3,7,Missing,1.3,2,0,0,9,11,0,0,0,5,5,18.08,0.0,0.3180036375,194,3 4
Cf,98,32,251.0,1173,3,7,Missing,1.3,2,0,0,10,12,0,0,0,4,4,18.08,0.0,0.3180036375,194,3
Es,99,34,252.0,1133,3,7,Missing,1.3,2,0,0,11,13,0,0,0,3,3,18.08,0.0,0.3180036375,Missing,3
Fm,100,36,257.0,1800,3,7,Missing,1.3,2,0,0,12,14,0,0,0,2,2,18.08,0.0,0.3180036375,Missing,3
Md,101,38,258.0,1100,3,7,Missing,1.3,2,0,0,13,15,0,0,0,1,1,18.08,0.0,0.3180036375,Missing,3
No,102,40,259.0,1100,3,7,Missing,1.3,2,0,0,14,16,0,0,0,0,0,18.08,0.0,0.3180036375,Missing,3
Lr,103,42,262.0,1900,3,7,Missing,Missing,2,1,0,14,17,0,5,0,0,5,18.08,0.0,0.3180036375,Missing,3
Rf,104,Missing,265.0,Missing,4,7,Missing,Missing,2,0,2,14,18,0,0,8,0,8,18.08,0.0,0.3180036375,Missing,4
Db,105,Missing,268.0,Missing,5,7,Missing,Missing,2,0,3,14,19,0,0,7,0,7,18.08,0.0,0.3180036375,Missing,5
Sg,106,Missing,271.0,Missing,6,7,Missing,Missing,2,0,4,14,20,0,0,6,0,6,18.08,0.0,0.3180036375,Missing,6
Bh,107,Missing,272.0,Missing,7,7,Missing,Missing,2,0,5,14,21,0,0,5,0,5,18.08,0.0,0.3180036375,Missing,4 6 7
Hs,108,Missing,270.0,Missing,8,7,Missing,Missing,2,0,6,14,22,0,0,4,0,4,18.08,0.0,0.3180036375,Missing,3 4
Mt,109,Missing,276.0,Missing,9,7,Missing,Missing,2,0,7,14,23,0,0,3,0,3,18.08,0.0,0.3180036375,Missing,3 4
Ds,110,Missing,281.0,Missing,10,7,Missing,Missing,1,0,9,14,24,1,0,1,0,2,18.08,0.0,0.3180036375,Missing,2 4
Rg,111,Missing,280.0,Missing,11,7,Missing,Missing,1,0,10,14,25,1,0,0,0,1,18.08,0.0,0.3180036375,Missing,1 3
Cn,112,Missing,285.0,Missing,12,7,Missing,Missing,2,0,10,14,26,0,0,0,0,0,18.08,0.0,0.3180036375,Missing,1 2
